Start Date,End Date,Response Type,IP Address,Progress,Enter your participant ID,1. Locate the path for the species - ‘frogs’ using the software for the node-link and treemap diagram,2.  Which animal categories have similar populations in that specific category of species?,"3. Based on the color intensity and the size of the nodes in the arthropods family, the population of 'spiders' is larger than that of 'mites'.",4. To which category of species do ‘jellyfish’ belong?,1. Locate the path to ‘DataSprite’ using the software for the node-link and treemap diagram.,2. To which category of ‘Flare’ does ‘Binary Expression’ belong?,3. ‘NodeLinkTreeLayout’ belongs to the ‘Animate’ category,"4. Based on the color intensity and the size of the nodes in the 'vis' category, 'operator' is in a higher number than 'data'.",1. Locate the path to ‘AMT’ using the software for the node-link and treemap diagram.,2. Which category of companies is the most populated in the treemap based on the color map?,3. To which category of companies does ‘Beverages’ belong?,4. ‘Aerospace & Defense’ belongs to the company category of ‘Communication Services’ :,1. Locate the path to ‘Cornet’ in the treemap node-link diagram.,2. ‘Tubas’ belongs to the ‘Late Romantic Orchestra’ but does not belong to the ‘Classical Orchestra’,"3. Based on color depth and size of the nodes, 'Strings' in the 'Early Romantic Orchestra' is present in a higher quantity than 'Strings' in the 'Modern Orchestra'.",4. ‘Marimba’ belongs to which of the following categories of Orchestras?,Score
10/13/23 0:17,10/13/23 0:32,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 0:21,10/13/23 0:34,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Animate,FALSE,FALSE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,14
10/13/23 0:22,10/13/23 0:35,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,TRUE,Modern Orchestra,14
10/13/23 0:28,10/13/23 0:41,IP Address,37.154.13.240,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 0:23,10/13/23 0:41,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 0:25,10/13/23 0:45,IP Address,5.229.13.38,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Birds and Fish,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,15
10/13/23 0:23,10/13/23 0:45,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 0:23,10/13/23 0:46,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,FALSE,FALSE,Modern Orchestra,14
10/13/23 8:23,10/13/23 8:40,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Amphibians -> Frogs,Medusozoans and Anthozoans,TRUE,Medusozoans,Flare -> Vis -> Data -> Datasprite,Query,FALSE,TRUE,Companies -> Real Estate -> REIT Speciality -> AMT,Technology,Consumer Defensive,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,16
10/13/23 8:27,10/13/23 8:43,IP Address,193.140.54.100,100,NLT,Animals -> Vertebrates -> Mammals -> Frogs,Clams and Snails,TRUE,Medusozoans,Flare -> Vis -> Controls -> DataSprite,Query,TRUE,TRUE,Companies -> Healthcare -> Healthcare Plans -> AMT,Technology,Consumer Cyclic,FALSE,Orchestras -> Early Romantic Orchestra -> Brass -> Cornet,TRUE,FALSE,Modern Orchestra,10
