Please enter your participant ID.*,"Have you seen treemaps before? If yes, where?* - Selected Choice","Have you seen treemaps before? If yes, where?* - Yes - Text","Here are a couple of examples of network/node-link diagarms. Have you seen network / node-link diagrams before? If yes, where?* - Selected Choice","Here are a couple of examples of network/node-link diagarms. Have you seen network / node-link diagrams before? If yes, where?* - Yes - Text",Please rate your familiarity with node-link/network diagrams on a scale of 1-7. - Specify your familiarity with node-link diagrams,"Do you have a background in Data Visualization? If so, what is it?* - Selected Choice","Do you have a background in Data Visualization? If so, what is it?* - Yes - Text","How difficult did you find the Treemaps Assessment questions?* - 1-Not at all, 7-Very much",Please describe why you found the test questions difficult or easy.*,"Did you struggle to answer any questions? If yes, what in particular did you struggle with?*",Did the Treemaps software help you gain a better understanding of Treemaps? Did it help you answer questions in the Post-Test more/less confidently? - Selected Choice,Did the Treemaps software help you gain a better understanding of Treemaps? Did it help you answer questions in the Post-Test more/less confidently? - Yes - Text,Why (or why not) do you think it was helpful?,"How effective was the Treemaps software to visualize the data hierarchy? - 1-Not at all,   7-Very much",Why (or why not) do you think it was effective?,Do you recommend any improvements to the software?,"What was your understanding of Treemaps before you interacted with the Treemaps software? - 1-Not at all,   7-Very much","What was your understanding of Treemaps after you interacted with the Treemaps software? - 1-Not at all,   7-Very much",What is your level of English proficiency?*
NLT,No,,No,,6,No,,2,I found this test easy because in my opinion treemaps are so readable,Rarely because usually questions are clear,Yes,,Because it is so understandable and read  easily,6,It is effective way because we can read easily,Maybe the words can be more than bigger than the system,5,7,Professional Working
NLT,No,,No,,,No,,3,The test asked me easy questions and only some of them are hard to solve.,"yes, in some of the questions I have a hard time solving them",Yes,,The more test I see the faster I solve the test ,7,The visual quuestions were well-prepared and asked the details.,I don't know if it is hard to design but video test would be fine to solve.,6,7,Full Professional
NLT,No,,Yes,,6,No,,4,I think test is easy but we need more effort.,no,No,,because I am not ready for test,7,node to node method is very useful,"no, ı think everythink is great",6,7,Professional Working
NLT,No,,Yes,,6,No,,4,easy,no,No,,visuals great ,7,node to node method is wonderful,no,5,7,Professional Working
NLT,No,,No,,1 (Not at all Familiar),No,,4,I did not think that it was particularly hard or easy.,Finding animal species names on the treemap was pretty hard since i dont have any background knowledge in that area. A search bar wouldve made it much easier.,Yes,,It helped me grasp the idea of what i was looking at.,7,It is very easy to follow.,A search bar could make it very to find an item that i do not know which category it belongs to. It could show the path of the item as a result.,1,4,Fluent/Native or Bilingual
NLT,No,,No,,5,Yes,,2,It was a little easy to me. Because I had dealt with tables and data visualization before.,No,Yes,,Because seeing the tree structure that creates the tables helped me understand the tables better.,6,Because using the tree structure seems good for making complex tables.,Maybe the sizing of the tables appearing in the questions in the survey could be improved.,3,7,Professional Working
NLT,Yes,wikipedia,Yes,wikipedia,4 (Somewhat Familiar),Yes,Interested in genetics and its piecharts,4,"There were easy and hard questions, mainly easy and medium ones. Hard ones was hard because they had hard English Instructions.","I struggled to understand a question, and answered it falsely. After answering and skipping the question, I understood what the instructions wanted me to do. But it was too late.",Yes,,"It was good to see charts, treemaps, graphics ect. I like making relations between dots and making connections.",5,Treemaps' themselves were pretty much self explanatory,It might be better to use more easy English with shorter sentences.,4,5,Elementary
NLT,No,,Yes,in some algorithm visualition websites,4 (Somewhat Familiar),No,,5,somewhere i cant find title or description this make hard to understanding of chart ,"Yes,in my opinion big charts is hard to read ",Yes,more,"because it give some info about the chart,without this information they are just rectangles for us ",7,it present well some big data and informations with easy way,labels  can be kinda readable,1,7,Limited Working
NLT,No,,No,,4 (Somewhat Familiar),No,,4,easy,no,No,,no,4,effective yes-,no,4,4,Limited Working
NLT,Yes,,Yes,,6,No,,3,It can be easily solved when proceeding in an attention-focused manner.,No.,Yes,,"As the familiarity with the questions increased, it became easier to solve the questions.",6,It was very useful because it measured visual information and data reading speed.,No.,2,6,Limited Working
NLT,No,,Yes,,4 (Somewhat Familiar),No,,5,It is not much easy because after a while my eyes are tired.,Some of the diagrams are not clear.,Yes,,Searching in map is easier than looking one by one.,7,It is easy to see with treemaps,No.,2,6,Limited Working
NLT,No,,No,,2,No,,4,I found this test moderate,No I' didnt struggle,Yes,,I have gained basic concepts about treemaps,7,"Software sorts all the information about making easier to understand the concept(gold medals , orchestras etc)",This software is quite splendid software ı didnt encounter any problems ,1,5,Professional Working
NLT,Yes,in social media,Yes,some of my lessons,3,Yes,I used it in my lessons,3,Actually i like their design but because of my eyes health situation i found a bit difficult to read them,I didn't struggle to answer any questions.,Yes,,because i didn't have any experiences before. they warm me up.,4,because of its interactive method i feel more into them,I dont have enough experience for any recommendation.,3,5,Professional Working
NLT,No,,Yes,,7  (Very Familiar),No,,1,I didnt try to find what asked for I eleminated the chooses.,"There was lots of things each other, its hard to stay focused on it.",Yes,more,Its easier to see what belongs to what. It was like geometry. Getting easier when u spend time on it.,7,Its easy to find that what you looked for when it categorized.,Can be chosen better coloring. ,2,7,Limited Working
NLT,Yes,,Yes,,,No,,4,easy,n9,Yes,,no,5,no,yes,4,5,Professional Working
